ProbeName	ProbeDisplayName	TargetName	HUGOSymbol	Accessions	GenomeBuild	GenomicPosition	GlobalOutlier	GlobalOutlierReason	OutlierFrequency	OutlierAOIs	Gene	DSP-1010474710004-A04	DSP-1010474710004-A06	DSP-1010474710004-A08	DSP-1010474710004-A10	DSP-1010474710004-A12	DSP-1010474710004-B02	DSP-1010474710004-B04	DSP-1010474710004-B06	DSP-1011206234567-H08
	RNA21012	GUCY2D	GUCY2D				FALSE				GUCY2D	56	14	10	3	21	3	0	2	6
	RNA21013	GUSB	GUSB				FALSE				GUSB	84	21	6	3	39	10	1	2	6
	RNA21014	HADHA	HADHA				FALSE				HADHA	97	44	15	1	51	18	1	5	12
	RNA21015	HADHB	HADHB				FALSE				HADHB	75	23	13	2	46	17	4	8	29
	RNA21016	HBG2,HBG1	HBG2,HBG1				FALSE				HBG2,HBG1	66	22	6	2	25	7	1	2	4
	RNA21017	SERPIND1	SERPIND1				FALSE				SERPIND1	44	15	5	0	24	8	0	4	3
	RNA21018	HGD	HGD				FALSE				HGD	55	6	6	1	22	3	1	1	7
	RNA21019	HK1	HK1				FALSE				HK1	85	16	6	1	33	6	0	2	14
	RNA21020	HK2	HK2				FALSE				HK2	57	28	6	0	16	4	0	4	6
	RNA21021	HMBS	HMBS				FALSE				HMBS	53	14	2	2	25	6	0	1	10
	RNA21022	HMGCL	HMGCL				FALSE				HMGCL	58	15	4	1	22	7	1	3	8
	RNA21023	SHH	SHH				FALSE				SHH	30	7	2	1	20	6	1	1	8
	RNA21024	HPRT1	HPRT1				FALSE				HPRT1	47	17	7	1	25	2	1	2	6
	RNA21025	HPS1	HPS1				FALSE				HPS1	53	16	9	1	43	14	0	1	7
	RNA21026	HSD11B2	HSD11B2				FALSE				HSD11B2	32	11	2	0	24	4	0	3	11
	RNA21027	HSD17B3	HSD17B3				FALSE				HSD17B3	77	24	5	3	23	9	1	3	38
	RNA21028	HSD3B2	HSD3B2				FALSE				HSD3B2	85	34	4	8	23	6	0	4	12
	RNA21029	SGSH	SGSH				FALSE				SGSH	111	42	16	4	77	37	3	3	81
	RNA21030	HTN3	HTN3				FALSE				HTN3	25	12	5	1	15	6	1	5	6
	RNA21031	ICAM1	ICAM1				FALSE				ICAM1	69	16	8	3	26	4	1	4	6
	RNA21032	IDS	IDS				FALSE				IDS	121	37	14	3	58	17	1	11	8
	RNA21033	IDUA	IDUA				FALSE				IDUA	53	18	11	3	35	10	3	0	14
	RNA21034	CFI	CFI				FALSE				CFI	62	23	9	2	33	13	0	3	12
	RNA21035	IL2RG	IL2RG				FALSE				IL2RG	46	14	4	3	21	8	0	1	12
	RNA21036	INS	INS				FALSE				INS	45	14	4	1	28	7	0	3	5
	RNA21037	INSR	INSR				FALSE				INSR	62	16	7	2	28	7	0	8	6
	RNA21038	PDX1	PDX1				FALSE				PDX1	63	19	4	1	24	10	1	4	11
	RNA21039	ITGA6	ITGA6				FALSE				ITGA6	64	22	5	1	31	6	3	2	12
	RNA21040	ITGB2	ITGB2				FALSE				ITGB2	53	15	4	0	98	20	2	9	12
	RNA21041	ITGB3	ITGB3				FALSE				ITGB3	51	23	4	1	29	9	0	3	6
	RNA21042	JAG1	JAG1				FALSE				JAG1	77	25	11	0	26	10	0	3	11
	RNA21043	JAK3	JAK3				FALSE				JAK3	46	18	10	5	30	13	3	4	11
	RNA21044	ANOS1	ANOS1				FALSE				ANOS1	83	29	9	3	40	12	3	2	10
	RNA21045	KCNA1	KCNA1				FALSE				KCNA1	50	11	3	1	30	5	0	0	6
	RNA21046	KHK	KHK				FALSE				KHK	98	22	8	5	31	8	2	2	8
	RNA21047	KIT	KIT				FALSE				KIT	43	13	4	3	13	5	0	4	11
	RNA21048	KRT12	KRT12				FALSE				KRT12	63	26	7	3	32	9	0	5	10
	RNA21049	KRT18	KRT18				FALSE				KRT18	200	57	30	10	37	13	1	5	31
	RNA21050	KRT9	KRT9				FALSE				KRT9	53	13	4	2	22	10	2	1	14
	RNA21051	LAMA3	LAMA3				FALSE				LAMA3	50	12	7	1	21	6	0	2	47
	RNA21052	LAMB3	LAMB3				FALSE				LAMB3	21	11	2	0	17	3	0	4	8
	RNA21053	LCAT	LCAT				FALSE				LCAT	53	20	7	2	32	9	0	2	2
	RNA21054	LEP	LEP				FALSE				LEP	33	10	2	2	22	7	1	3	4
	RNA21055	SGCG	SGCG				FALSE				SGCG	57	7	8	3	37	9	1	5	5
	RNA21056	SGCB	SGCB				FALSE				SGCB	116	27	5	2	66	16	2	2	11
	RNA21057	LHCGR	LHCGR				FALSE				LHCGR	64	21	5	2	22	5	1	2	10
	RNA21058	LIG1	LIG1				FALSE				LIG1	61	14	9	1	20	11	0	4	11
	RNA21059	LIPA	LIPA				FALSE				LIPA	79	18	9	3	87	33	1	7	6
	RNA21060	LIPC	LIPC				FALSE				LIPC	46	20	6	3	18	8	1	1	14
	RNA21061	LPL	LPL				FALSE				LPL	133	48	19	2	43	19	3	6	10
	RNA21062	LYZ	LYZ				FALSE				LYZ	36	16	2	2	20	8	0	5	26
	RNA21063	MAOA	MAOA				FALSE				MAOA	61	10	10	0	31	7	3	1	9
	RNA21064	MBL2	MBL2				FALSE				MBL2	45	23	3	1	15	5	0	2	6
	RNA21065	MEFV	MEFV				FALSE				MEFV	39	14	7	1	18	4	1	2	6
	RNA21066	MICA	MICA				FALSE				MICA	42	13	7	2	17	4	2	4	5
	RNA21067	MITF	MITF				FALSE				MITF	49	13	1	3	34	5	0	2	4
	RNA21068	MLH1	MLH1				FALSE				MLH1	76	29	9	4	26	10	1	2	9
	RNA21069	MPO	MPO				FALSE				MPO	67	16	1	0	25	3	1	4	10
	RNA21070	MSH2	MSH2				FALSE				MSH2	66	14	9	2	24	10	1	6	13
	RNA21071	MTM1	MTM1				FALSE				MTM1	39	23	4	7	25	11	0	3	5
	RNA21072	MTTP	MTTP				FALSE				MTTP	46	16	6	0	23	7	1	3	12
	RNA21073	MTR	MTR				FALSE				MTR	67	19	4	1	14	2	1	0	8
	RNA21074	MMUT	MMUT				FALSE				MMUT	60	15	8	2	25	6	1	3	15
	RNA21075	MYBPC3	MYBPC3				FALSE				MYBPC3	44	19	9	2	17	5	1	3	6
	RNA21076	MYH7	MYH7				FALSE				MYH7	47	16	8	2	21	7	1	2	12
	RNA21077	MYL3	MYL3				FALSE				MYL3	61	22	2	1	36	10	0	4	9
	RNA21078	MYO5A	MYO5A				FALSE				MYO5A	66	18	10	3	27	12	3	2	3
	RNA21079	MYOC	MYOC				FALSE				MYOC	49	14	7	3	22	13	1	2	9
	RNA21080	NAGA	NAGA				FALSE				NAGA	57	26	5	1	28	4	1	2	8
	RNA21081	NAGLU	NAGLU				FALSE				NAGLU	37	12	6	2	23	10	1	3	21
	RNA21082	PTCH1	PTCH1				FALSE				PTCH1	65	14	6	2	45	11	0	1	10
	RNA21083	NCF1,NCF1C	NCF1,NCF1C				FALSE				NCF1,NCF1C	79	37	9	5	31	9	0	3	13
	RNA21084	NDP	NDP				FALSE				NDP	51	14	9	3	23	9	2	4	5
	RNA21085	NF1	NF1				FALSE				NF1	80	22	8	4	34	11	1	4	11
	RNA21086	NME1	NME1				FALSE				NME1	106	34	10	2	32	10	1	1	18
	RNA21087	PNP	PNP				FALSE				PNP	45	12	2	4	24	18	3	3	12
	RNA21088	NPC1	NPC1				FALSE				NPC1	56	20	9	2	55	13	3	7	11
	RNA21089	GPR143	GPR143				FALSE				GPR143	45	13	1	1	18	6	0	2	7
	RNA21090	OAT	OAT				FALSE				OAT	56	22	8	1	53	17	0	5	10
	RNA21091	OCA2	OCA2				FALSE				OCA2	52	24	7	1	19	9	3	2	10
	RNA21092	OCRL	OCRL				FALSE				OCRL	56	16	7	5	30	9	2	4	7
	RNA21093	PAH	PAH				FALSE				PAH	55	13	3	2	24	3	0	4	12
	RNA21094	PAX2	PAX2				FALSE				PAX2	52	18	8	2	26	10	1	0	8
	RNA21095	PAX6	PAX6				FALSE				PAX6	74	14	9	0	33	4	0	2	14
	RNA21096	PCBD1	PCBD1				FALSE				PCBD1	42	13	5	0	24	7	1	4	7
	RNA21097	PCCA	PCCA				FALSE				PCCA	54	21	5	0	32	8	0	5	10
	RNA21098	PDE6B	PDE6B				FALSE				PDE6B	36	16	4	2	24	10	0	6	7
	RNA21099	PDHA1	PDHA1				FALSE				PDHA1	66	26	7	1	26	10	1	5	11
	RNA21100	PEPD	PEPD				FALSE				PEPD	65	24	6	2	38	24	3	3	6
	RNA21101	PEX12	PEX12				FALSE				PEX12	75	19	8	1	24	5	0	5	5
	RNA21102	PEX6	PEX6				FALSE				PEX6	58	22	10	5	27	5	1	2	7
	RNA21103	PEX7	PEX7				FALSE				PEX7	42	12	4	2	26	9	0	2	4
	RNA21104	PFKM	PFKM				FALSE				PFKM	67	25	6	6	26	7	1	4	8
	RNA21105	PGAM2,DBNL	PGAM2,DBNL				FALSE				PGAM2,DBNL	130	40	17	4	65	20	3	11	13
	RNA21106	PGK1	PGK1				FALSE				PGK1	165	52	18	2	184	28	3	21	15
	RNA21107	PHKA2	PHKA2				FALSE				PHKA2	49	15	3	1	29	5	1	3	8
	RNA21108	PHKB	PHKB				FALSE				PHKB	49	18	5	0	32	9	3	5	8
	RNA21109	PHKG2	PHKG2				FALSE				PHKG2	65	20	5	1	33	14	0	1	6
	RNA21110	SERPINA1	SERPINA1				FALSE				SERPINA1	78	21	7	2	57	20	3	9	14
	RNA21111	PKD2	PKD2				FALSE				PKD2	82	30	9	0	36	11	1	4	9
	RNA21112	PKP1	PKP1				FALSE				PKP1	57	18	2	4	16	6	2	1	7
	RNA21113	PLA2G2A	PLA2G2A				FALSE				PLA2G2A	116	43	15	3	26	5	3	2	9
	RNA21114	PLOD1	PLOD1				FALSE				PLOD1	121	43	12	1	104	18	1	7	28
	RNA21115	PMM2	PMM2				FALSE				PMM2	72	28	6	7	23	9	2	1	14
	RNA21116	PMP22	PMP22				FALSE				PMP22	81	35	9	1	159	59	2	29	14
	RNA21117	PON2	PON2				FALSE				PON2	98	22	10	3	67	16	2	4	14
	RNA21118	POU1F1	POU1F1				FALSE				POU1F1	51	23	4	3	26	5	1	4	8
	RNA21119	POU3F4	POU3F4				FALSE				POU3F4	63	20	1	2	16	9	2	1	5
	RNA21120	PPOX	PPOX				FALSE				PPOX	17373	4474	1659	384	3897	1441	142	677	1225
	RNA21121	PRNP	PRNP				FALSE				PRNP	99	31	11	3	113	33	3	13	10
	RNA21122	PROC	PROC				FALSE				PROC	67	8	1	0	26	9	0	1	3
	RNA21123	PROS1	PROS1				FALSE				PROS1	112	26	14	3	30	19	1	1	12
	RNA21124	PTEN	PTEN				FALSE				PTEN	86	23	14	6	31	11	0	4	5
	RNA21125	PTH	PTH				FALSE				PTH	61	25	7	4	30	13	1	3	7
	RNA21126	PTH1R	PTH1R				FALSE				PTH1R	71	26	12	1	33	8	0	3	7
	RNA21127	PTS	PTS				FALSE				PTS	59	19	11	4	24	5	1	1	5
	RNA21128	PEX2	PEX2				FALSE				PEX2	54	18	8	5	20	9	1	4	9
	RNA21129	QDPR	QDPR				FALSE				QDPR	61	12	8	3	157	37	4	13	8
	RNA21130	RB1	RB1				FALSE				RB1	49	11	7	2	32	13	2	7	7
	RNA21131	PRPH2	PRPH2				FALSE				PRPH2	58	20	4	4	30	5	1	5	7
	RNA21132	RHAG	RHAG				FALSE				RHAG	48	15	9	3	30	8	0	3	6
	RNA21133	PITX2	PITX2				FALSE				PITX2	80	32	8	6	38	14	2	4	11
	RNA21135	ROM1	ROM1				FALSE				ROM1	35	11	1	0	31	14	0	5	3
	RNA21136	RPGR	RPGR				FALSE				RPGR	34	10	4	3	15	4	0	4	3
	RNA21137	RPE65	RPE65				FALSE				RPE65	54	19	6	1	25	8	0	1	7
	RNA21138	RS1	RS1				FALSE				RS1	42	16	5	0	25	2	1	5	3
	RNA21139	ATXN1	ATXN1				FALSE				ATXN1	112	30	11	1	57	16	1	8	11
	RNA21140	SCN4A	SCN4A				FALSE				SCN4A	61	28	4	1	17	6	0	0	14
	RNA21141	SCNN1B	SCNN1B				FALSE				SCNN1B	41	14	8	2	22	3	0	2	9
	RNA21142	SGCD	SGCD				FALSE				SGCD	26	10	6	3	19	5	0	3	12
	RNA21143	SLC12A1	SLC12A1				FALSE				SLC12A1	40	11	4	1	16	5	2	1	13
	RNA21144	SLC2A2	SLC2A2				FALSE				SLC2A2	72	20	5	4	35	6	1	2	7
	RNA21145	SLC3A1	SLC3A1				FALSE				SLC3A1	39	8	6	1	12	4	1	1	6
	RNA21146	SLC4A1	SLC4A1				FALSE				SLC4A1	53	20	1	2	19	5	0	3	8
	RNA21147	SLC5A1	SLC5A1				FALSE				SLC5A1	47	18	6	2	16	6	0	1	2
	RNA21148	SMN1,SMN2	SMN1,SMN2				FALSE				SMN1,SMN2	85	37	14	3	36	10	0	5	19
	RNA21149	SNCA	SNCA				FALSE				SNCA	76	19	7	3	35	11	1	3	11
	RNA21150	SOX9	SOX9				FALSE				SOX9	243	73	26	7	66	9	2	8	10
	RNA21151	SRD5A2	SRD5A2				FALSE				SRD5A2	66	26	4	0	26	7	1	2	8
	RNA21152	ABCA4	ABCA4				FALSE				ABCA4	52	15	2	2	18	9	0	2	7
	RNA21153	STS	STS				FALSE				STS	54	13	4	1	19	8	3	3	9
	RNA21154	ABCC8	ABCC8				FALSE				ABCC8	73	18	6	2	28	7	4	1	7
	RNA21155	TAT	TAT				FALSE				TAT	46	16	7	4	23	5	0	3	6
	RNA21156	SERPINA7	SERPINA7				FALSE				SERPINA7	36	24	5	1	28	8	0	4	18
	RNA21157	TCN2	TCN2				FALSE				TCN2	52	16	6	2	23	6	2	5	13
	RNA21158	TCOF1	TCOF1				FALSE				TCOF1	55	16	4	0	26	8	2	3	10
	RNA21159	TGFBI	TGFBI				FALSE				TGFBI	70	25	11	2	31	15	0	8	33
	RNA21160	TGM1	TGM1				FALSE				TGM1	61	17	7	2	28	7	3	3	12
	RNA21161	TH	TH				FALSE				TH	28	13	6	0	21	5	0	1	10
	RNA21162	THBD	THBD				FALSE				THBD	35	13	7	1	20	4	1	7	8
	RNA21163	TIMP3	TIMP3				FALSE				TIMP3	189	57	15	2	66	21	1	4	27
	RNA21164	TNNI3	TNNI3				FALSE				TNNI3	39	10	5	1	20	8	1	1	15
	RNA21165	TPI1	TPI1				FALSE				TPI1	260	79	31	5	150	38	4	20	27
	RNA21166	TPM1	TPM1				FALSE				TPM1	114	30	15	3	49	16	4	6	19
	RNA21167	TPMT	TPMT				FALSE				TPMT	108	22	9	2	35	19	3	1	8
	RNA21168	TSC1	TSC1				FALSE				TSC1	72	29	10	1	32	16	1	3	13
	RNA21169	TTPA	TTPA				FALSE				TTPA	12421	3292	1296	469	2081	607	40	171	77
	RNA21170	TTR	TTR				FALSE				TTR	41	12	5	2	19	2	0	0	18
	RNA21171	TYR	TYR				FALSE				TYR	50	13	3	2	22	1	0	3	8
	RNA21172	UMPS	UMPS				FALSE				UMPS	72	22	9	2	17	4	0	0	7
	RNA21173	UROS	UROS				FALSE				UROS	45	18	5	3	24	9	2	4	8
