Sample_ID	aoi_size	nuclei	Stage_x	Stage_y	dsp_roinum	tissue_type	roi_dimension	aoi_type	roi_type	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UID	NegGeoMean_01	NegGeoSD_01	GeoLOQ2.5_01	NormFactorNeg_01	NormFactorQ3	NormFactorHK
DSP-1011206234567-E03	103863.14	984	116.496	44.194	25	crc	650	Tumor inverse	seg	11629367	11162926	10682240	10639341	4073626	61.71166992	DSP-1011206234567-E03	32.78406975	1.271799182	59.80110632	0.834743064	0.820306043	0.888446274
DSP-1011206234567-E04	175367.78	1535	115.895	45.192	26	crc	650	Tumor	seg	17328267	17319080	16801113	16741386	9976113	40.41047139	DSP-1011206234567-E04	53.19905248	1.274801027	97.61350537	1.35454629	1.901270081	2.106862228
DSP-1011206234567-E05	97436.52	1068	115.895	45.192	26	crc	650	Tumor inverse	seg	11052534	10984604	10649449	10613139	4016025	62.1598756	DSP-1011206234567-E05	30.7688525	1.316145064	61.14637256	0.783431905	0.797306808	0.835651928
DSP-1011206234567-E06	160870.02	1406	115.655	45.894	27	crc	650	Tumor	seg	19079744	19070001	18493831	18428151	10069889	45.35594483	DSP-1011206234567-E06	52.26394487	1.264854784	94.03810225	1.330736721	1.954934963	2.29602042
DSP-1011206234567-E07	110635.2	1054	115.654	45.902	27	crc	650	Tumor inverse	seg	11748239	11741923	11390921	11352245	3874898	65.866681	DSP-1011206234567-E07	34.75837355	1.268305659	62.96790903	0.885012491	0.781973985	0.779660225
DSP-1011206234567-E08	130361.43	1198	118.18	45.629	28	crc	650	Tumor	seg	13735127	13727759	13311906	13264516	5073121	61.75419442	DSP-1011206234567-E08	33.60495075	1.320883823	67.38524578	0.855644212	1.065631215	1.192450105
DSP-1011206234567-E09	126525.84	1538	118.18	45.629	28	crc	650	Tumor inverse	seg	13757177	13749445	13315432	13268528	4662630	64.85947801	DSP-1011206234567-E09	42.55581372	1.281392916	79.09785313	1.083549742	0.958301452	0.880115006
DSP-1011206234567-E11	217108.92	2482	119.228	45.204	29	crc	650	Tumor inverse	seg	16087901	16077859	15580728	15527056	5822773	62.49918207	DSP-1011206234567-E11	59.2834813	1.292202476	112.527876	1.509467104	1.142295331	0.9380289
DSP-1011206234567-E12	139455.38	1188	121.184	45.46	30	crc	650	Tumor	seg	16283172	16272981	15787340	15731097	7285841	53.68510537	DSP-1011206234567-E12	49.8821445	1.327288407	101.241453	1.270091677	1.471951031	1.550303013
DSP-1011206234567-F01	144588.31	1505	121.184	45.441	30	crc	650	Tumor inverse	seg	12958350	12951611	12568287	12527154	4713385	62.37465429	DSP-1011206234567-F01	45.57533694	1.295766856	87.10579632	1.160432389	0.988967099	0.964783534
DSP-1011206234567-F02	197715.72	1510	121.826	46.211	31	crc	650	Tumor	seg	28512731	28497637	27639909	27547021	13931618	49.42604502	DSP-1011206234567-F02	92.10398785	1.24816332	160.3086563	2.345137916	2.752241771	2.895319468
DSP-1011206234567-F03	81386.75	856	121.83	46.21	31	crc	650	Tumor inverse	seg	8719780	8715015	8456766	8427314	3431699	59.27885208	DSP-1011206234567-F03	31.81390044	1.283546955	59.38083762	0.810040758	0.735975515	0.757611913
DSP-1011206234567-F04	90423.47	759	123.496	45.974	32	crc	650	Tumor	seg	15883949	15875097	15404154	15352007	7096968	53.77172509	DSP-1011206234567-F04	45.51516499	1.307728146	89.01225415	1.1589003	1.364621268	1.627026752
DSP-1011206234567-F05	140020.04	1685	123.489	45.983	32	crc	650	Tumor inverse	seg	13041334	13034090	12632126	12588754	5434767	56.8283962	DSP-1011206234567-F05	46.18244604	1.305424117	89.91994053	1.17589051	1.08863045	1.096441041
DSP-1011206234567-F06	93609.52	846	121.906	46.896	33	crc	650	Tumor	seg	15149987	15141840	14691900	14643658	6871580	53.07470306	DSP-1011206234567-F06	44.43600673	1.300777919	85.75173469	1.131422934	1.364621268	1.460262332
DSP-1011206234567-F07	168884.25	1992	121.906	46.904	33	crc	650	Tumor inverse	seg	14785108	14776882	14321355	14270661	6000352	57.95323006	DSP-1011206234567-F07	54.57243057	1.28237448	101.6273179	1.389515037	1.234292271	1.196444713
DSP-1011206234567-F08	96321.68	790	120.194	47.744	34	crc	650	Tumor	seg	18287481	18277808	17740850	17679516	8543921	51.67333201	DSP-1011206234567-F08	54.23568462	1.306577992	105.8335765	1.380940862	1.701943379	1.98132097
DSP-1011206234567-F09	169714.55	1943	120.196	47.771	34	crc	650	Tumor inverse	seg	17082685	17073350	16550820	16483129	7555213	54.16396365	DSP-1011206234567-F09	64.74686071	1.294413885	123.4245703	1.64857485	1.525615912	1.505862221
DSP-1011206234567-F10	129331.16	1073	119.558	46.792	35	crc	650	Tumor	seg	15749143	15740729	15273519	15218377	8531650	43.93850277	DSP-1011206234567-F10	55.56368445	1.299637841	106.9909162	1.414754195	1.694276968	1.74743684
DSP-1011206234567-F11	135714.06	1348	119.558	46.793	35	crc	650	Tumor inverse	seg	14055774	14047086	13620160	13573070	6013138	55.69802558	DSP-1011206234567-F11	53.30423435	1.265663267	96.06322207	1.357224415	1.28029074	1.320281013
DSP-1011206234567-F12	133422.53	1210	118.252	46.367	36	crc	650	Tumor	seg	17362713	17353719	16848022	16792159	9068936	45.99303163	DSP-1011206234567-F12	57.40436009	1.27936914	106.2758427	1.461621201	1.778607495	2.020219207
DSP-1011206234567-G01	120388.39	1198	118.252	46.358	36	crc	650	Tumor inverse	seg	14612006	14603882	14110123	14062113	6175975	56.0807469	DSP-1011206234567-G01	55.36792007	1.296388967	105.9489178	1.409769671	1.310956387	1.353982118
DSP-1011206234567-G02	110629	987	118.73	44.218	37	crc	650	Tumor	seg	15202911	15195568	14758035	14710912	7895365	46.32987404	DSP-1011206234567-G02	54.43662421	1.282254352	101.3506737	1.386057156	1.548615147	1.594208231
DSP-1011206234567-H08	331716	2317	114.06	41.16	49	glass	650	geo	geo	1192169	1189312	1154850	1151828	177911	84.55403064	DSP-1011206234567-H08	5.74003752	1.701692551	21.68290542	0.146151974	0.068997705	0.015799752
DSP-1011206234567-H09	331716	2317	115.37	41.53	50	crc	650	geo	geo	9347369	9340959	9061367	9037674	3534109	60.89581235	DSP-1011206234567-H09	43.46780484	1.289444634	82.06811461	1.106770723	1.333955622	1.551725463
DSP-1011206234567-H10	331716	2317	115.19	42.31	51	crc	650	geo	geo	13591318	13579614	13146689	13122385	4244684	67.65310574	DSP-1011206234567-H10	56.19224339	1.290254911	106.258865	1.430758468	1.671277733	1.919149712
